"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"03/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"6.137.520,53";"11.213.737,29";"10.144.939,79";"1.130.268,00";
"08/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"3.756.118,61";"10.798.705,93";"10.364.749,97";"61.103,23";
"09/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"- 49.086,32";"380.748,46";"6.508.927,74";"0,00";
"05/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"4.063.270,42";"12.164.524,81";"12.809.815,06";"77.117,52";
"01/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"117.623.398,47";"9.116.904,91";"3.067.829,72";"8.761.111,27";
"04/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"16.073.857,49";"11.865.381,55";"11.989.159,81";"445.553,22";
"06/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"- 590.407,65";"12.622.687,45";"11.219.059,45";"357.006,40";
"02/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"2.484.012,74";"10.312.450,80";"10.025.688,72";"2.053.671,11";
"09/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"764.648,44";"7.032.764,56";"19.074.057,13";"115.550,00";
"08/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"4.807.966,77";"38.149.822,90";"40.835.744,55";"130.557,85";
"06/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"6.508.467,21";"41.743.843,27";"37.733.266,31";"843.759,93";
"07/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"22.039.387,99";"37.901.793,48";"42.135.013,01";"583.039,50";
"02/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"35.209.520,19";"26.061.203,65";"23.640.212,94";"7.776.250,22";
"04/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"129.797.837,90";"35.759.058,62";"33.839.039,33";"4.986.219,45";
"01/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"287.991.578,57";"24.104.166,96";"10.014.934,88";"21.344.070,45";
"05/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"15.864.729,23";"35.705.210,84";"35.898.064,56";"985.599,73";
"03/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"16.226.312,26";"33.797.653,84";"32.399.098,40";"8.677.762,14";
"07/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"39.006.780,67";"56.393.459,14";"70.701.559,59";"116.645,84";
"01/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"115.362.600,91";"49.163.270,87";"16.416.540,52";"50.859.133,56";
"06/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"67.264.846,88";"69.975.950,39";"56.134.041,91";"246.520,23";
"05/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"62.459.610,15";"56.490.855,14";"56.713.103,89";"227.409,09";
"09/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"2.058.117,31";"2.864.572,88";"34.759.616,84";"16.131,01";
